,genitive_case,prepositional_case
EUR,"['€', 'евро']","['€', 'евро']"
USD,"['$', 'дол', 'долларов', 'долларов сша']","['$', 'дол', 'долларах', 'долларах сша']"
RUB,"['₽', 'руб', 'рублей', 'российских рублей']","['₽', 'руб', 'рублях', 'российских рублях']"
JPY,"['йен', 'японских йен']","['йенах', 'японских йенах']"
CNY,"['юаней', ''китайских юаней']","['юанях', 'китайских юанях']"
GBP,['фунтов стерлингов'],['фунтах стерлингов']
CHF,['швейцарских франков'],['франках']
AUD,['австралийских долларов'],['австралийских долларах']
CAD,['канадских долларов'],['канадских долларах']
NZD,['новозеландских долларов'],['новозеландских долларах']
HKD,['гонконгских долларов'],['гонконгских долларах']
SGD,['сингапурских долларов'],['долларах cингапура']
KRW,"['вон', 'корейских вон', 'вон республики корея']","['вонах', 'корейских вонах', 'вонах республики корея']"
INR,"['рупий', 'индийских рупий']","['рупиях', 'индийских рупиях']"
TRY,"['лир', 'турецких лир']","['лирах', 'турецких лирах']"
ZAR,"['рэндов', 'южноафриканских рэндов']","['рэндах', 'южноафриканских рэндах']"
BRL,"['реалов', 'бразильских реалов']","['реалах', 'бразильских реалах']"
MXN,"['песо', 'мексиканских песо']","['песо', 'мексиканских песо']"
THB,"['батов', 'тайских батов']","['батах', 'тайских батах']"
SEK,['шведских крон'],['шведских кронах']
NOK,['норвежских крон'],['норвежских кронах']
DKK,['датских крон'],['датских кронах']
CZK,['чешских крон'],['чешских кронах']
HUF,['венгерских форинтов'],['форинтах']
PLN,['польских злотых'],['злотых']
ILS,"['шекелей', 'новых израильских шекелей']","['шекелях', 'новых израильских шекелях']"
AED,"['дирхамов', 'дирхамов оаэ']","['дирхамах', 'дирхамах оаэ']"
BHD,['бахрейнских динаров'],['бахрейнских динарах']
OMR,['оманских риалов'],['оманских риалах']
KWD,['кувейтских динаров'],['кувейтских динарах']
QAR,['катарских риалов'],['катарских риалах']
SAR,['саудовских риялов'],['риялах']
UAH,"['гривен', 'украинских гривен']","['гривнах', 'украинских гривнах']"
